playlist_id,playlist_title,playlist_desc,published_at,channel_id,channel_title,item_count,thumb_default,thumb_medium,thumb_high
PLxKLMN7WdG5AM3pFpdNbnzOHqdZUpp3r5,"Anh Trai ""Say Hi"" 2025 | Live Stage",,2025-09-20 15:45:08.025136+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,17,https://i.ytimg.com/vi/g54mT0lQcBA/default.jpg,https://i.ytimg.com/vi/g54mT0lQcBA/mqdefault.jpg,https://i.ytimg.com/vi/g54mT0lQcBA/hqdefault.jpg
PLxKLMN7WdG5Boij13v40P3-aO56CocZRw,"Em Xinh ""Say Hi"" Concert | Xinh Xập Xình Sập Sàn","Em Xinh ""Say Hi"" Concert | Xinh Xập Xình Sập Sàn

#emxinhsayhi #emxinh #emxinhsayhiconcert #concert",2025-09-09 14:02:02.383108+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,20,https://i.ytimg.com/vi/Q7uVkWRAs4g/default.jpg,https://i.ytimg.com/vi/Q7uVkWRAs4g/mqdefault.jpg,https://i.ytimg.com/vi/Q7uVkWRAs4g/hqdefault.jpg
PLxKLMN7WdG5AlA3dp3p3it0flbzxmZwxd,"Anh Trai ""Say Hi"" 2025 | BTS","Anh Trai ""Say Hi"" 2025 | BTS

#AnhTraiSayHi #AnhTraiSayHi2025
#DatVietVAC #VieChannel #VieON #VieNETWORK",2025-09-07 04:12:51.341017+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,106,https://i.ytimg.com/vi/f6Oi9gbr7zA/default.jpg,https://i.ytimg.com/vi/f6Oi9gbr7zA/mqdefault.jpg,https://i.ytimg.com/vi/f6Oi9gbr7zA/hqdefault.jpg
PLxKLMN7WdG5BScv1MASDarMh12mB8tIU2,"Anh Trai ""Say Hi"" 2025 | Sức Mạnh Nguyên Bản - Rất Real Rất Riêng",,2025-08-13 08:19:08.985221+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,180,https://i.ytimg.com/vi/piOfzIT7sQ0/default.jpg,https://i.ytimg.com/vi/piOfzIT7sQ0/mqdefault.jpg,https://i.ytimg.com/vi/piOfzIT7sQ0/hqdefault.jpg
PLxKLMN7WdG5BXZqh4UHAUPtjWq1OAVz4-,Em Xinh ICON,,2025-06-20 10:57:04.750189+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,1,https://i.ytimg.com/vi/Ja4zvXysncc/default.jpg,https://i.ytimg.com/vi/Ja4zvXysncc/mqdefault.jpg,https://i.ytimg.com/vi/Ja4zvXysncc/hqdefault.jpg
PLxKLMN7WdG5D_R3opCOF5jUzAisXmZyBY,"Em Xinh ""Say Hi"" | Live Stage","Em Xinh ""Say Hi"" | Live Stage

#emxinh #emxinhsayhi #EXSH",2025-05-30 11:34:48.159865+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,47,https://i.ytimg.com/vi/xpBtGnhWzXw/default.jpg,https://i.ytimg.com/vi/xpBtGnhWzXw/mqdefault.jpg,https://i.ytimg.com/vi/xpBtGnhWzXw/hqdefault.jpg
PLxKLMN7WdG5DcEyUOk7f25ykdihfRT_sF,"Em Xinh ""Say Hi"" | BTS","Em Xinh ""Say Hi"" | BTS",2025-05-05 03:51:26.827198+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,166,https://i.ytimg.com/vi/LhBZA3U0GGw/default.jpg,https://i.ytimg.com/vi/LhBZA3U0GGw/mqdefault.jpg,https://i.ytimg.com/vi/LhBZA3U0GGw/hqdefault.jpg
PLxKLMN7WdG5D1LrbMdeJMn_fL9FrQbJ6V,"Em Xinh ""Say Hi"" | Sân chơi âm nhạc thực tế sống còn hấp dẫn nhất mùa hè 2025","Em Xinh ""Say Hi"" | Sân chơi âm nhạc thực tế sống còn hấp dẫn nhất mùa hè 2025",2025-05-05 03:51:06.298455+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,366,https://i.ytimg.com/vi/YzMcYwfj3V4/default.jpg,https://i.ytimg.com/vi/YzMcYwfj3V4/mqdefault.jpg,https://i.ytimg.com/vi/YzMcYwfj3V4/hqdefault.jpg
PLxKLMN7WdG5BRN8Sl3-ZGIdl7l1uVSdV3,Anh Trai Say Hi Concert [Live Stage],Anh Trai Say Hi Concert [Live Stage],2025-04-12 13:37:48.109280+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,29,https://i.ytimg.com/vi/64FOiXe_KLs/default.jpg,https://i.ytimg.com/vi/64FOiXe_KLs/mqdefault.jpg,https://i.ytimg.com/vi/64FOiXe_KLs/hqdefault.jpg
PLxKLMN7WdG5DlawIKYIpjwoSc3QZFJrIs,ATSH GAME ONLY,,2025-04-04 10:20:59.964353+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,3,https://i.ytimg.com/vi/QJx96CYpJNU/default.jpg,https://i.ytimg.com/vi/QJx96CYpJNU/mqdefault.jpg,https://i.ytimg.com/vi/QJx96CYpJNU/hqdefault.jpg
PLxKLMN7WdG5AMsdCEMN7x8_LINnuY7NkV,"Anh Trai ""Say Hi"" The Movie - Kẻ Phản Diện Tạo Nên Người Hùng","Anh Trai ""Say Hi"" The Movie - Kẻ Phản Diện Tạo Nên Người Hùng

ANH TRAI ""SAY HI""
Kẻ Phản Diện Tạo Nên Người Hùng
Khởi chiếu từ 26.02.2025
Truy cập App & website của CGV để mua vé.

#VieNETWORK #AnhTraiSayHi #VieChannel #DatVietVAC
#AnhTraiSayHi #AnhTrai #AnhTraiSayHiConcert2024 #KPDTNNH
#CGVVietnam #ICECONVietnam #ATSHTheConcertMovie",2025-02-28 10:53:05.465540+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,28,https://i.ytimg.com/vi/Zp6rTejfaDY/default.jpg,https://i.ytimg.com/vi/Zp6rTejfaDY/mqdefault.jpg,https://i.ytimg.com/vi/Zp6rTejfaDY/hqdefault.jpg
PLxKLMN7WdG5BIwNQgqYSWciQhg-Jtj8yQ,SÓNG 25 | LIVE STAGE,SÓNG 25 | LIVE STAGE,2025-01-28 15:55:01.014893+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,8,https://i.ytimg.com/vi/lM2kY7VGXEw/default.jpg,https://i.ytimg.com/vi/lM2kY7VGXEw/mqdefault.jpg,https://i.ytimg.com/vi/lM2kY7VGXEw/hqdefault.jpg
PLxKLMN7WdG5De9CuWAJWJVk50bYNnkwnm,SÓNG 25 | BTS,,2025-01-15 10:48:21.749728+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,58,https://i.ytimg.com/vi/Lwgcvg58j3U/default.jpg,https://i.ytimg.com/vi/Lwgcvg58j3U/mqdefault.jpg,https://i.ytimg.com/vi/Lwgcvg58j3U/hqdefault.jpg
PLxKLMN7WdG5D_eiB-HX3Mg3o45vI-cOrh,HÀI TẾT | XUÂN ẤT TỴ 2025,,2025-01-03 14:18:44.481896+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,5,https://i.ytimg.com/vi/Lqfgh_DnPJQ/default.jpg,https://i.ytimg.com/vi/Lqfgh_DnPJQ/mqdefault.jpg,https://i.ytimg.com/vi/Lqfgh_DnPJQ/hqdefault.jpg
PLxKLMN7WdG5BbaNOm4v30QD5EQld9-roU,SÓNG 25 LIVE CONCERT | Đại Tiệc Âm Nhạc Đỉnh Lưu | 08.01.2025,"SÓNG 25 LIVE CONCERT | Đại Tiệc Âm Nhạc Đỉnh Lưu | 08.01.2025

Lần đầu tiên, Đại Tiệc Âm Nhạc Đỉnh Lưu - một đêm LIVE CONCERT duy nhất quy tụ tất cả các SAO HẠNG A đã tạo sóng trong năm 2024. ""Chạm"" và ""cháy hết mình"" cùng thần tượng ở khoảng cách gần nhất. Số lượng vé rất giới hạn!
---
SÓNG 25 LIVE CONCERT được tổ chức tại S.E.C.C Quận 7 TP.HCM vào ngày 08.01.2025
- Mở bán sớm: Từ 12:00 đến 23:59 ngày 20.12.2024
- Mở bán chính thức: Từ 21.12.2024",2024-12-19 10:12:23.290861+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,89,https://i.ytimg.com/vi/ZG74jiwqKqs/default.jpg,https://i.ytimg.com/vi/ZG74jiwqKqs/mqdefault.jpg,https://i.ytimg.com/vi/ZG74jiwqKqs/hqdefault.jpg
PLxKLMN7WdG5Bqo79h1cak8DjodwScI0R8,"Anh Trai “Say Hi” Concert | Đại Nhạc Hội Anh Trai ""Say Hi"" - DAY 1 - DAY 5",,2024-09-27 08:18:28.638985+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,313,https://i.ytimg.com/vi/kx5FPKiedtA/default.jpg,https://i.ytimg.com/vi/kx5FPKiedtA/mqdefault.jpg,https://i.ytimg.com/vi/kx5FPKiedtA/hqdefault.jpg
PLxKLMN7WdG5DgiD4SaJBjWo8YoAhLGInM,RAP VIỆT 2024 | BTS,,2024-09-23 12:01:16.215267+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,104,https://i.ytimg.com/vi/jhR54nRbkm0/default.jpg,https://i.ytimg.com/vi/jhR54nRbkm0/mqdefault.jpg,https://i.ytimg.com/vi/jhR54nRbkm0/hqdefault.jpg
PLxKLMN7WdG5DceAqmLdM-tk57cGmWSCT9,Rap Việt 2024 [Live Stage],"Rap Việt 2024 [Live Stage] 

#rapviệt2024 #rapviet2024 #rapviet #tranthanh 
#karik #suboi #justatee #bigdaddy #thaivg #fhero #bray",2024-09-21 15:55:53.993928+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,89,https://i.ytimg.com/vi/s2UBSFakgJs/default.jpg,https://i.ytimg.com/vi/s2UBSFakgJs/mqdefault.jpg,https://i.ytimg.com/vi/s2UBSFakgJs/hqdefault.jpg
PLxKLMN7WdG5DocrGKzZNI2Ol6f-yMi0IH,RAP VIỆT 2024,,2024-09-11 10:50:37.027002+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,307,https://i.ytimg.com/vi/cWcPlbQ6G9U/default.jpg,https://i.ytimg.com/vi/cWcPlbQ6G9U/mqdefault.jpg,https://i.ytimg.com/vi/cWcPlbQ6G9U/hqdefault.jpg
PLxKLMN7WdG5CbqQNROJhL0Hw1LGIoEI0C,RAP VIỆT 2024 | CASTING CALL,"RAP VIỆT 2024 | CASTING CALL

#RapViet #RapViet2024
#VieChannel #VieGiảiTrí #VieON #DatVietVAC",2024-07-16 11:09:54.351903+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,9,https://i.ytimg.com/vi/ougwG3EoaOw/default.jpg,https://i.ytimg.com/vi/ougwG3EoaOw/mqdefault.jpg,https://i.ytimg.com/vi/ougwG3EoaOw/hqdefault.jpg
PLxKLMN7WdG5CbiW3w-ijIFQZyoT_Et7xQ,Anh Trai Say Hi | BTS,"Anh Trai Say Hi | BTS 

Anh Trai ""Say Hi"" - Vie Channel
#anhtrai #anhtraisayhi #TranThanh 
#HIEUTHUHAI #Isaac #AnhTuAtus #AnhTu #QuangHungMasterD #HURRYKNG #NEGAV #Erik #DucPhuc #SongLuan #JSOL #WEAN #Gemini #Nicky #GinTuanKiet #QuanA.P #HaiDangDoo #DuongDomic #PhapKieu #AliHoangDuong #Tage #PhamDinhThaiNgan #PhamAnhDuy #Captain #VuThinh #Rhyder #CongDuong #DoPhuQui #QuangTrung #LouHoang 
#DatVietVAC #VieChannel #VieON",2024-06-17 06:33:34.282572+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,485,https://i.ytimg.com/vi/7RSYgNmrHJE/default.jpg,https://i.ytimg.com/vi/7RSYgNmrHJE/mqdefault.jpg,https://i.ytimg.com/vi/7RSYgNmrHJE/hqdefault.jpg
PLxKLMN7WdG5A6U26bZgtGaPcZ1rJm4fYu,"Anh Trai ""Say Hi"" [ LIVESTAGE ]","Anh Trai Say Hi | Livestage 

#anhtrai #anhtraisayhi #TranThanh 
#HIEUTHUHAI #Isaac #AnhTuAtus #AnhTu #QuangHungMasterD #HURRYKNG #NEGAV #Erik #DucPhuc #SongLuan #JSOL #WEAN #Gemini #Nicky #GinTuanKiet #QuanA.P #HaiDangDoo #DuongDomic #PhapKieu #AliHoangDuong #Tage #PhamDinhThaiNgan #PhamAnhDuy #Captain #VuThinh #Rhyder #CongDuong #DoPhuQui #QuangTrung #LouHoang 
#DatVietVAC #VieChannel #VieON",2024-06-17 06:32:22.021910+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,50,https://i.ytimg.com/vi/QgpWXYqdS8g/default.jpg,https://i.ytimg.com/vi/QgpWXYqdS8g/mqdefault.jpg,https://i.ytimg.com/vi/QgpWXYqdS8g/hqdefault.jpg
PLxKLMN7WdG5AYDsDPTbq7zZTpOTGH7ay6,"Show mới ANH TRAI ""SAY HI"" | 20:00 Thứ 7 hàng tuần","Anh Trai ""Say Hi"" - Vie Channel

#anhtrai #anhtraisayhi #TranThanh 
#HIEUTHUHAI #Isaac #AnhTuAtus #AnhTu #QuangHungMasterD #HURRYKNG #NEGAV #Erik #DucPhuc #SongLuan #JSOL #WEAN #Gemini #Nicky #GinTuanKiet #QuanA.P #HaiDangDoo #DuongDomic #PhapKieu #AliHoangDuong #Tage #PhamDinhThaiNgan #PhamAnhDuy #Captain #VuThinh #Rhyder #CongDuong #DoPhuQui #QuangTrung #LouHoang 
#DatVietVAC #VieChannel #VieON",2024-04-11 08:16:04.586769+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,626,https://i.ytimg.com/vi/qKTqFeRb43w/default.jpg,https://i.ytimg.com/vi/qKTqFeRb43w/mqdefault.jpg,https://i.ytimg.com/vi/qKTqFeRb43w/hqdefault.jpg
PLxKLMN7WdG5DGXNnJVM8jejC2aDbpDa0o,Casting Rap Việt Mùa 3,"Casting Rap Việt Mùa 3 - Hóng Rap Việt Mùa 4 

#RapViệtMùa3 #RapVietSeason3 #VieChannel #VieGiảiTrí #VieON #DatVietVAC",2024-04-03 02:56:46.584794+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,98,https://i.ytimg.com/vi/uo2VnaUzEN8/default.jpg,https://i.ytimg.com/vi/uo2VnaUzEN8/mqdefault.jpg,https://i.ytimg.com/vi/uo2VnaUzEN8/hqdefault.jpg
PLxKLMN7WdG5AlsBxbngKl1fLI6OGed3Bz,Phim Việt mới Ước Mình Cùng Bay | 20h Thứ 4 - Thứ 5 - Thứ 6 hàng tuần,"Phim Việt mới Ước Mình Cùng Bay | 20h Thứ 4 - Thứ 5 - Thứ 6 hàng tuần 

Bộ phim kể về số phận của những con người mong muốn thoát nghèo, họ buộc phải bước vào cuộc mưu sinh để những thiếu thốn biến mất và nhường chỗ cho cuộc đua vươn tới giàu sang.

#VieON #VieChannel #ƯớcMìnhCùngBay
#UocMinhCungBay #PhimViet #PhimMoi #PhimHot #PhimTinhCam #PhimGiaĐinh

#ThuyDung #TrinhThao #LanhThanh #QuangDai
#VoDienGiaHuy #HongAnh #KieuTrinh",2024-02-01 06:33:19.378644+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,32,https://i.ytimg.com/img/no_thumbnail.jpg,https://i.ytimg.com/img/no_thumbnail.jpg,https://i.ytimg.com/img/no_thumbnail.jpg
PLxKLMN7WdG5DgQQKKUMdu2_ZOgfoSMPT7,Ca nhạc Tết SÓNG 24 | Đêm Giao Thừa | Xuân Giáp Thìn Tết 2024,"Đón Giao Thừa - Đón Sóng 24

Chương trình ca nhạc giải trí Đêm Giao Thừa đạt TOP 1 YouTube Trending 6 năm liền. Trong suốt 6 năm qua, Sóng đã liên tục mang những bài hát, nghệ sĩ, gương mặt và những câu chuyện truyền cảm hứng xuất sắc nhất đến với khán giả, trở thành chương trình giải trí được yêu thích nhất Đêm Giao Thừa. 

#Sóng24 #ĐêmGiaoThừa #TếtGiápThìn #Tết2024
#DatVietVAC #VieChannel #VieON",2024-01-25 03:55:24.084947+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,103,https://i.ytimg.com/vi/1uiUMbz83Yw/default.jpg,https://i.ytimg.com/vi/1uiUMbz83Yw/mqdefault.jpg,https://i.ytimg.com/vi/1uiUMbz83Yw/hqdefault.jpg
PLxKLMN7WdG5CWVloG9ctrNNLwwrhfefKS,Hài TẾT | Xuân Giáp Thìn Tết 2024,"Chuỗi chương trình Hài TẾT, chào đón Xuân Giáp Thìn 2024 chọn lọc dành cho khán giả Việt thưởng thức trong năm mới.

Trấn Thành, Trường Giang, Hồng Vân, Việt Hương, Chí Tài, Bảo Quốc, Đại Nghĩa, Bảo Chung, Trung Dân, Bảo Châu, Tấn Beo, Kiều Oanh, Lê Khánh, Cát Phượng, Thu Trang, Lương Thế Thành, Lan Phương, Ốc Thanh Vân, Xuân Nghị, Long Đẹp Trai, Quốc Thuận...",2024-01-01 03:26:03.092475+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,46,https://i.ytimg.com/vi/hGsvJQ_HPJ0/default.jpg,https://i.ytimg.com/vi/hGsvJQ_HPJ0/mqdefault.jpg,https://i.ytimg.com/vi/hGsvJQ_HPJ0/hqdefault.jpg
PLxKLMN7WdG5BVxrYqmDLS0TkZbTAapG3d,The Masked Singer Vietnam All-star Concert 2023 | Lên sóng 21:00 từ 30/12,"#TheMaskedSingerVietNam #Mùa2 #CaSĩMặtNạ #Concert2023 #VieChannel #VieGIẢITRÍ #VieON #DatVietVAC

The Masked Singer Vietnam All-star Concert 2023 | Lên sóng 21:00 từ 30/12",2023-12-26 10:17:01.224644+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,130,https://i.ytimg.com/vi/aGykpL5W-Gs/default.jpg,https://i.ytimg.com/vi/aGykpL5W-Gs/mqdefault.jpg,https://i.ytimg.com/vi/aGykpL5W-Gs/hqdefault.jpg
PLxKLMN7WdG5AeYEViDVahvabyO9Se6v_0,Phim Việt mới YÊU TRƯỚC NGÀY CƯỚI | 20h Thứ 6 - Thứ 7 hàng tuần,"Câu chuyện của những người trẻ yêu cởi mở, sống phóng khoáng, trung thực với cảm xúc của bản thân

#YeuTruocNgayCuoi
#VieChannel #VieON #DatVietVAC
#SongLuan #MinhTrang #NhaPhuong #QuocAnh #SiThanh #BiMax #HuuVi",2023-11-10 08:13:16.804577+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,51,https://i.ytimg.com/vi/Xh_NhfVBlfU/default.jpg,https://i.ytimg.com/vi/Xh_NhfVBlfU/mqdefault.jpg,https://i.ytimg.com/vi/Xh_NhfVBlfU/hqdefault.jpg
PLxKLMN7WdG5BCP36GMlCsTCWxapsmnCeG,Rap Việt All-star Concert (2023) | 21:00 Thứ 7 Hàng Tuần,"#RapVietConcert #Concert2023 #RapViệtMùa3 #RapVietSeasson3 #VieChannelHTV2 #VieGiảiTrí

Rap Việt All-star Concert (2023) | 21:00 Thứ 7 Hàng Tuần

Rap Việt All-Star Concert 2023 xem SỚM NHẤT với chất lượng 4K SIÊU NÉT lúc 20:00 Thứ 7 - 28/10 trên VieON",2023-10-26 08:23:16.047891+00:00,UCkna2OcuN1E6u5I8GVtdkOw,Vie Channel ,105,https://i.ytimg.com/vi/W2-WIc5K0f0/default.jpg,https://i.ytimg.com/vi/W2-WIc5K0f0/mqdefault.jpg,https://i.ytimg.com/vi/W2-WIc5K0f0/hqdefault.jpg
